Year,Month,SEQ major road,SEQ suburban,Mt Isa residential,Townsville peak (industrial),NEPM standard
1997,4,0.26,0.09,,,0.5
1997,5,0.26,0.09,,,0.5
1997,6,0.26,0.09,,,0.5
1997,7,0.26,0.09,,,0.5
1997,8,0.26,0.09,,,0.5
1997,9,0.27,0.1,,,0.5
1997,10,0.27,0.1,,,0.5
1997,11,0.28,0.1,,,0.5
1997,12,0.27,0.1,,,0.5
1998,1,0.27,0.09,,,0.5
1998,2,0.27,0.09,,,0.5
1998,3,0.28,0.09,,,0.5
1998,4,0.27,0.09,,,0.5
1998,5,0.27,0.09,,,0.5
1998,6,0.27,0.09,,,0.5
1998,7,0.27,0.09,,,0.5
1998,8,0.26,0.09,,,0.5
1998,9,0.25,0.08,,,0.5
1998,10,0.24,0.08,,,0.5
1998,11,0.23,0.08,,,0.5
1998,12,0.23,0.08,,,0.5
1999,1,0.22,0.08,,,0.5
1999,2,0.21,0.08,,,0.5
1999,3,0.21,0.08,,,0.5
1999,4,0.21,0.08,,,0.5
1999,5,0.21,0.07,,,0.5
1999,6,0.21,0.06,,,0.5
1999,7,0.2,0.05,,,0.5
1999,8,0.2,0.05,,,0.5
1999,9,0.2,0.04,,,0.5
1999,10,0.2,0.04,,,0.5
1999,11,0.19,0.04,,,0.5
1999,12,0.19,0.04,,,0.5
2000,1,0.19,0.04,,,0.5
2000,2,0.19,0.04,,,0.5
2000,3,0.19,0.04,,,0.5
2000,4,0.19,0.03,,,0.5
2000,5,0.19,0.03,,,0.5
2000,6,0.19,0.03,,,0.5
2000,7,0.19,0.03,,,0.5
2000,8,0.18,0.03,,,0.5
2000,9,0.17,0.03,,,0.5
2000,10,0.16,0.03,,,0.5
2000,11,0.15,0.03,,,0.5
2000,12,0.14,0.03,,,0.5
2001,1,0.14,0.03,,,0.5
2001,2,0.13,0.02,,,0.5
2001,3,0.12,0.02,,,0.5
2001,4,0.11,0.02,,,0.5
2001,5,0.09,0.02,,,0.5
2001,6,0.08,0.02,,,0.5
2001,7,0.07,0.02,,,0.5
2001,8,0.06,0.02,,,0.5
2001,9,0.05,0.01,,,0.5
2001,10,0.05,0.01,,,0.5
2001,11,0.04,0.01,,,0.5
2001,12,0.03,0.01,,,0.5
2002,1,0.03,0.01,,,0.5
2002,2,0.02,0.01,,,0.5
2002,3,0.02,0.01,,,0.5
2002,4,0.02,0.01,,,0.5
2002,5,0.02,0.01,,,0.5
2002,6,0.02,0.01,,,0.5
2002,7,0.02,0,,,0.5
2002,8,0.02,0,,,0.5
2002,9,0.02,0,,,0.5
2002,10,0.02,0,,,0.5
2002,11,0.02,0,,,0.5
2002,12,0.02,,,,0.5
2003,1,0.02,,,,0.5
2003,2,0.02,,,,0.5
2003,3,0.02,,,,0.5
2003,4,0.02,,,,0.5
2003,5,0.02,,,,0.5
2003,6,0.02,,,,0.5
2003,7,0.02,,,,0.5
2003,8,0.02,,,,0.5
2003,9,0.02,,,,0.5
2003,10,0.02,,,,0.5
2003,11,0.01,,,,0.5
2003,12,,,,,0.5
2004,1,,,,,0.5
2004,2,,,,,0.5
2004,3,,,,,0.5
2004,4,,,,,0.5
2004,5,,,,,0.5
2004,6,,,,,0.5
2004,7,,,,,0.5
2004,8,,,,,0.5
2004,9,,,,,0.5
2004,10,,,,,0.5
2004,11,,,,,0.5
2004,12,,,,,0.5
2005,1,,,,,0.5
2005,2,,,,,0.5
2005,3,,,,,0.5
2005,4,,,,,0.5
2005,5,,,,,0.5
2005,6,,,,,0.5
2005,7,,,,,0.5
2005,8,,,,,0.5
2005,9,,,,,0.5
2005,10,,,,,0.5
2005,11,,,,,0.5
2005,12,,,,,0.5
2006,1,,,,,0.5
2006,2,,,,,0.5
2006,3,,,,,0.5
2006,4,,,,,0.5
2006,5,,,,,0.5
2006,6,,,,,0.5
2006,7,,,,,0.5
2006,8,,,,,0.5
2006,9,,,,,0.5
2006,10,,,,,0.5
2006,11,,,,,0.5
2006,12,,,,,0.5
2007,1,,,,,0.5
2007,2,,,,,0.5
2007,3,,,,,0.5
2007,4,,,,,0.5
2007,5,,,,,0.5
2007,6,,,,,0.5
2007,7,,,,,0.5
2007,8,,,,,0.5
2007,9,,,,,0.5
2007,10,,,,,0.5
2007,11,,,,,0.5
2007,12,,,,,0.5
2008,1,,,,,0.5
2008,2,,,,,0.5
2008,3,,,,,0.5
2008,4,,,,,0.5
2008,5,,,,,0.5
2008,6,,,,,0.5
2008,7,,,,,0.5
2008,8,,,,,0.5
2008,9,,,,,0.5
2008,10,,,,,0.5
2008,11,,,,,0.5
2008,12,,,,,0.5
2009,1,,,,,0.5
2009,2,,,,0.147,0.5
2009,3,,,,0.154,0.5
2009,4,,,,0.145,0.5
2009,5,,,,0.146,0.5
2009,6,,,,0.143,0.5
2009,7,,,,0.142,0.5
2009,8,,,,0.137,0.5
2009,9,,,,0.128,0.5
2009,10,,,,0.122,0.5
2009,11,,,,0.124,0.5
2009,12,,,,0.125,0.5
2010,1,,,,0.125,0.5
2010,2,,,,0.125,0.5
2010,3,,,,0.114,0.5
2010,4,,,0.153,0.11,0.5
2010,5,,,0.164,0.107,0.5
2010,6,,,0.146,0.112,0.5
2010,7,,,0.145,0.1,0.5
2010,8,,,0.126,0.106,0.5
2010,9,,,0.114,0.111,0.5
2010,10,,,0.104,0.104,0.5
