Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),TSP (ug/m^3)
06/01/2015,11:00,90,6.9,15.1,1.8,26.4,47.8,0.0,972,,,33.0
06/01/2015,12:00,92,6.7,16.5,1.7,27.5,40.5,0.0,971,17.0,3.9,22.6
06/01/2015,13:00,102,6.7,16.4,1.6,28.2,34.5,0.0,971,16.4,1.2,33.1
06/01/2015,14:00,107,6.2,15.3,1.8,28.2,36.6,0.0,970,19.4,3.2,37.8
06/01/2015,15:00,109,6.3,13.2,1.6,28.3,32.5,0.0,970,16.0,0.7,31.5
06/01/2015,16:00,99,6.5,14.1,1.6,27.9,38.6,0.0,970,18.9,2.2,34.8
06/01/2015,17:00,93,6.2,11.5,1.5,27.2,39.4,0.0,970,33.2,5.2,63.4
06/01/2015,18:00,84,5.7,9.1,1.2,25.6,46.5,0.0,971,17.3,3.4,22.6
06/01/2015,19:00,81,5.1,8.2,1.2,23.6,55.1,0.0,972,12.2,0.1,26.6
06/01/2015,20:00,92,3.8,10.4,1.2,22.3,56.9,0.0,972,15.8,0.6,30.3
06/01/2015,21:00,95,2.8,10.7,1.0,21.1,61.0,0.0,972,17.9,1.6,26.1
06/01/2015,22:00,100,3.2,10.0,0.8,20.5,67.0,0.0,972,21.6,2.2,30.7
06/01/2015,23:00,97,2.7,11.0,0.8,19.9,73.2,0.0,972,18.5,2.8,31.3
07/01/2015,00:00,103,3.0,10.1,1.1,19.6,74.9,0.0,971,21.0,3.8,25.6
07/01/2015,01:00,115,2.4,10.5,0.6,18.7,79.1,0.0,971,16.2,0.7,17.0
07/01/2015,02:00,112,2.7,8.1,0.8,18.6,79.9,0.0,970,12.1,-0.8,18.9
07/01/2015,03:00,119,2.6,8.1,0.6,18.5,80.1,0.0,971,15.1,2.8,19.0
07/01/2015,04:00,136,1.4,29.1,0.7,17.9,82.3,0.0,971,12.1,1.6,11.7
07/01/2015,05:00,123,2.1,10.2,0.6,18.1,81.4,0.0,971,9.7,0.1,20.3
07/01/2015,06:00,117,2.6,12.0,1.1,19.7,74.2,0.0,972,12.8,1.6,21.5
07/01/2015,07:00,107,5.7,11.1,1.7,22.1,60.8,0.0,972,16.8,1.9,56.1
07/01/2015,08:00,100,7.1,10.5,1.5,23.3,54.9,0.0,972,63.3,6.7,96.1
07/01/2015,09:00,108,6.8,14.4,1.8,24.3,52.9,0.0,972,55.8,7.4,50.5
07/01/2015,10:00,93,6.5,14.3,1.6,25.0,52.0,0.0,972,19.1,1.7,31.4
07/01/2015,11:00,90,5.7,15.3,1.7,26.0,49.4,0.0,971,19.4,4.4,27.8
07/01/2015,12:00,81,6.0,14.2,1.7,26.9,46.2,0.0,971,10.6,1.4,14.7
07/01/2015,13:00,90,5.7,14.8,1.5,27.3,48.4,0.0,970,10.6,0.9,27.7
07/01/2015,14:00,95,5.7,15.7,1.4,26.5,52.0,0.0,970,13.1,2.2,27.2
07/01/2015,15:00,96,6.8,12.9,1.7,25.7,56.3,0.0,970,15.0,2.7,50.4
07/01/2015,16:00,95,7.8,10.3,1.7,24.8,58.2,0.0,970,22.2,1.8,38.0
07/01/2015,17:00,88,7.4,10.9,1.6,24.0,61.2,0.0,970,12.1,1.1,22.1
07/01/2015,18:00,78,5.8,10.6,1.4,23.2,64.1,0.0,971,11.5,0.5,16.8
07/01/2015,19:00,77,4.7,9.4,1.3,21.6,71.8,0.0,971,12.3,3.9,13.8
07/01/2015,20:00,86,3.7,9.9,0.9,21.0,71.9,0.0,971,12.9,3.8,14.2
07/01/2015,21:00,89,3.3,8.7,0.9,20.4,77.3,0.0,971,13.2,3.7,12.2
07/01/2015,22:00,88,3.8,7.9,0.9,20.2,76.7,0.0,971,12.9,2.9,15.0
07/01/2015,23:00,99,2.8,8.1,0.7,19.6,72.2,0.0,971,14.0,3.9,18.8
08/01/2015,00:00,90,3.4,8.4,0.9,19.2,74.3,0.0,971,15.9,1.8,22.2
08/01/2015,01:00,68,3.5,8.3,0.9,18.4,79.2,0.0,970,15.0,2.6,15.2
08/01/2015,02:00,81,2.8,12.8,0.6,17.8,81.7,0.0,970,12.7,2.0,15.9
08/01/2015,03:00,100,2.4,10.1,0.6,17.9,81.2,0.0,969,12.3,-0.7,23.9
08/01/2015,04:00,105,2.8,8.5,0.6,17.7,80.8,0.0,970,14.6,-0.1,25.4
08/01/2015,05:00,91,3.3,7.6,0.7,17.8,80.6,0.0,970,15.2,2.5,21.0
08/01/2015,06:00,83,5.1,8.0,1.2,19.5,74.9,0.0,970,16.8,5.2,22.2
08/01/2015,07:00,89,5.9,9.0,1.2,21.6,67.2,0.0,971,15.6,3.0,21.7
08/01/2015,08:00,91,5.5,13.2,1.4,23.1,61.1,0.0,971,15.2,3.0,24.2
08/01/2015,09:00,86,4.1,20.6,1.2,24.7,55.0,0.0,970,20.7,6.5,24.5
08/01/2015,10:00,78,3.8,19.6,1.2,26.1,49.6,0.0,970,14.3,3.2,21.5
08/01/2015,11:00,77,3.7,29.3,1.6,26.9,46.5,0.0,969,14.4,2.4,29.3
08/01/2015,12:00,71,4.3,18.1,1.4,27.4,45.3,0.0,969,12.1,2.9,15.4
08/01/2015,13:00,65,5.1,15.5,1.5,27.7,45.7,0.0,968,10.4,3.2,22.9
08/01/2015,14:00,86,5.4,16.6,1.4,27.6,47.6,0.0,967,13.0,3.2,21.6
08/01/2015,15:00,84,6.1,12.9,1.3,27.7,45.9,0.0,967,13.3,1.8,18.1
08/01/2015,16:00,72,5.9,11.2,1.3,27.5,49.0,0.0,966,9.7,1.9,18.9
08/01/2015,17:00,73,6.9,10.4,1.4,25.8,56.2,0.0,967,10.2,1.9,23.3
08/01/2015,18:00,65,5.9,9.3,1.4,24.1,62.0,0.0,968,10.2,1.7,30.5
08/01/2015,19:00,66,4.7,8.6,1.2,22.4,68.9,0.0,968,15.0,1.5,28.1
08/01/2015,20:00,76,4.4,7.9,1.0,21.4,74.6,0.0,968,11.6,2.2,18.2
08/01/2015,21:00,79,4.4,7.5,1.0,20.9,77.5,0.0,968,9.9,0.3,13.9
08/01/2015,22:00,74,4.0,8.6,0.9,20.5,78.1,0.0,968,13.3,2.9,13.0
08/01/2015,23:00,86,3.2,8.6,0.7,20.0,80.9,0.0,968,10.5,0.7,13.2
09/01/2015,00:00,88,2.1,10.9,0.6,19.6,83.4,0.0,967,11.9,1.2,15.9
09/01/2015,01:00,83,1.8,8.6,0.4,19.1,85.5,0.0,967,12.8,1.2,16.2
09/01/2015,02:00,91,1.2,19.6,0.5,18.7,86.4,0.0,966,12.5,-0.5,20.2
09/01/2015,03:00,170,0.7,32.8,0.4,18.2,87.8,0.0,967,15.0,1.3,16.7
09/01/2015,04:00,121,1.1,16.0,0.4,18.0,89.1,0.0,967,10.1,-0.4,18.6
09/01/2015,05:00,92,1.2,24.5,0.4,18.4,88.1,0.0,968,13.4,0.7,35.5
09/01/2015,06:00,74,3.1,11.8,1.2,20.2,81.4,0.0,968,17.4,2.7,27.9
09/01/2015,07:00,76,4.4,12.8,1.0,22.3,69.8,0.0,968,15.4,3.8,19.7
09/01/2015,08:00,53,5.0,13.5,1.3,24.0,59.7,0.0,968,15.8,4.0,38.7
09/01/2015,09:00,50,4.1,19.8,1.3,25.6,53.1,0.0,968,17.8,1.7,41.0
09/01/2015,10:00,64,4.1,21.9,1.4,27.0,47.0,0.0,967,22.3,4.6,51.4
09/01/2015,11:00,79,3.9,21.7,1.7,28.1,42.9,0.0,967,18.7,4.0,28.9
09/01/2015,12:00,84,4.8,18.9,1.6,28.7,39.6,0.0,966,12.0,1.7,27.4
09/01/2015,13:00,72,4.6,22.2,1.6,29.3,36.9,0.0,965,12.4,3.3,23.3
09/01/2015,14:00,89,4.7,21.0,1.8,29.6,36.2,0.0,965,10.0,3.6,25.2
09/01/2015,15:00,91,4.0,19.8,1.2,30.1,34.1,0.0,964,12.5,4.7,21.8
