Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Sulfur Dioxide (ppm)
02/01/2013,23:00,,,,,25.0,85.4,0.0,0.000
03/01/2013,00:00,,,,,24.4,87.8,0.0,0.000
03/01/2013,01:00,,,,,24.5,87.0,0.0,
03/01/2013,02:00,,,,,23.5,90.0,0.0,0.001
03/01/2013,03:00,,,,,23.1,93.4,0.0,0.001
03/01/2013,04:00,,,,,22.6,94.2,0.0,0.001
03/01/2013,05:00,,,,,22.4,95.3,0.0,0.001
03/01/2013,06:00,,,,,23.2,94.7,0.0,0.000
03/01/2013,07:00,,,,,26.3,79.8,0.0,0.000
03/01/2013,08:00,,,,,28.5,66.1,0.0,0.001
03/01/2013,09:00,,,,,29.8,58.3,0.0,0.000
03/01/2013,10:00,,,,,30.7,51.9,0.0,0.003
03/01/2013,11:00,,,,,31.5,48.3,0.0,0.003
03/01/2013,12:00,,,,,31.5,51.4,0.0,0.002
03/01/2013,13:00,,,,,31.5,48.5,0.0,0.003
03/01/2013,14:00,,,,,31.0,51.0,0.0,0.000
03/01/2013,15:00,,,,,30.9,51.2,0.0,0.000
03/01/2013,16:00,,,,,30.0,57.4,0.0,0.000
03/01/2013,17:00,,,,,29.1,61.3,0.0,0.000
03/01/2013,18:00,,,,,27.7,71.8,0.0,0.000
03/01/2013,19:00,,,,,27.2,76.3,0.0,0.000
03/01/2013,20:00,,,,,26.8,75.5,0.0,0.001
03/01/2013,21:00,,,,,26.6,77.9,0.0,0.001
03/01/2013,22:00,,,,,26.3,78.0,0.0,0.000
03/01/2013,23:00,,,,,25.6,78.6,0.0,0.000
04/01/2013,00:00,,,,,25.5,76.7,0.0,0.001
04/01/2013,01:00,,,,,25.1,77.1,0.0,
04/01/2013,02:00,,,,,25.1,77.1,0.0,0.000
04/01/2013,03:00,,,,,25.0,77.9,0.0,0.000
04/01/2013,04:00,,,,,24.3,80.8,0.0,0.000
04/01/2013,05:00,,,,,24.2,82.6,0.0,0.000
04/01/2013,06:00,,,,,25.8,75.0,0.0,0.001
04/01/2013,07:00,,,,,27.4,66.2,0.0,0.001
04/01/2013,08:00,,,,,28.5,61.6,0.0,0.001
04/01/2013,09:00,,,,,29.7,56.4,0.0,0.001
04/01/2013,10:00,,,,,30.6,52.1,0.0,0.001
04/01/2013,11:00,,,,,31.7,46.0,0.0,0.001
04/01/2013,12:00,,,,,31.8,43.6,0.0,0.001
04/01/2013,13:00,,,,,31.7,42.6,0.0,0.001
04/01/2013,14:00,,,,,31.5,43.2,0.0,0.000
04/01/2013,15:00,,,,,30.4,52.1,0.0,0.000
04/01/2013,16:00,,,,,28.6,63.1,0.0,0.000
04/01/2013,17:00,,,,,28.6,59.8,0.0,0.000
04/01/2013,18:00,,,,,27.6,63.4,0.0,0.001
04/01/2013,19:00,,,,,26.9,68.0,0.0,0.001
04/01/2013,20:00,,,,,26.6,70.2,0.0,0.001
04/01/2013,21:00,,,,,26.2,70.3,0.0,0.001
04/01/2013,22:00,,,,,25.8,69.2,0.0,0.000
04/01/2013,23:00,,,,,25.3,71.3,0.0,0.000
05/01/2013,00:00,,,,,25.2,72.7,0.0,
05/01/2013,01:00,,,,,24.8,72.3,0.0,
05/01/2013,02:00,,,,,24.6,71.4,0.0,0.001
05/01/2013,03:00,,,,,23.2,78.4,0.0,0.001
05/01/2013,04:00,,,,,22.7,80.9,0.0,0.001
05/01/2013,05:00,,,,,22.4,83.6,0.0,0.000
05/01/2013,06:00,,,,,24.2,78.1,0.0,0.000
05/01/2013,07:00,,,,,26.9,66.2,0.0,0.000
05/01/2013,08:00,,,,,28.5,56.9,0.0,0.001
05/01/2013,09:00,,,,,29.4,51.9,0.0,0.000
05/01/2013,10:00,,,,,30.1,49.2,0.0,0.000
05/01/2013,11:00,,,,,30.9,46.0,0.0,0.001
05/01/2013,12:00,,,,,31.7,44.2,0.0,0.000
05/01/2013,13:00,,,,,31.8,44.1,0.0,0.000
05/01/2013,14:00,,,,,31.5,43.1,0.0,0.001
05/01/2013,15:00,,,,,30.9,41.8,0.0,0.001
05/01/2013,16:00,,,,,29.6,52.7,0.0,0.000
05/01/2013,17:00,,,,,28.6,55.0,0.0,0.000
05/01/2013,18:00,,,,,27.3,61.4,0.0,0.001
05/01/2013,19:00,,,,,26.6,63.3,0.0,0.001
05/01/2013,20:00,,,,,26.4,67.5,0.0,0.001
05/01/2013,21:00,,,,,26.4,69.1,0.0,0.001
05/01/2013,22:00,,,,,26.3,69.5,0.0,0.001
05/01/2013,23:00,,,,,25.9,71.7,0.0,0.001
06/01/2013,00:00,,,,,25.6,71.1,0.0,0.000
06/01/2013,01:00,,,,,25.3,72.1,0.0,
06/01/2013,02:00,,,,,24.8,73.7,0.0,0.000
06/01/2013,03:00,,,,,23.7,78.2,0.0,0.000
06/01/2013,04:00,,,,,23.0,81.4,0.0,0.001
06/01/2013,05:00,,,,,22.7,84.0,0.0,0.001
06/01/2013,06:00,,,,,24.4,75.7,0.0,0.000
06/01/2013,07:00,,,,,26.6,63.6,0.0,0.000
06/01/2013,08:00,,,,,28.3,54.8,0.0,0.000
06/01/2013,09:00,,,,,29.6,53.2,0.0,0.001
06/01/2013,10:00,,,,,30.6,49.4,0.0,0.001
06/01/2013,11:00,,,,,31.1,49.8,0.0,0.001
06/01/2013,12:00,,,,,31.6,48.9,0.0,0.002
06/01/2013,13:00,,,,,31.9,48.6,0.0,
06/01/2013,14:00,,,,,31.8,47.4,0.0,
06/01/2013,15:00,,,,,30.7,54.2,0.0,
06/01/2013,16:00,,,,,29.9,57.8,0.0,
06/01/2013,17:00,,,,,28.7,63.9,0.0,
06/01/2013,18:00,,,,,27.6,68.8,0.0,
06/01/2013,19:00,,,,,27.0,72.6,0.0,
06/01/2013,20:00,,,,,27.1,72.6,0.0,
06/01/2013,21:00,,,,,26.8,69.0,0.0,
06/01/2013,22:00,,,,,26.5,70.4,0.0,
06/01/2013,23:00,,,,,26.1,73.3,0.0,
07/01/2013,00:00,,,,,25.9,72.0,0.0,
07/01/2013,01:00,,,,,25.6,72.2,0.0,
07/01/2013,02:00,,,,,25.3,74.1,0.0,
07/01/2013,03:00,,,,,24.8,75.8,0.0,
07/01/2013,04:00,,,,,24.6,76.5,0.0,
07/01/2013,05:00,,,,,24.4,77.4,0.0,
07/01/2013,06:00,,,,,25.2,74.3,0.0,
07/01/2013,07:00,,,,,27.2,66.0,0.0,
07/01/2013,08:00,,,,,28.5,60.1,0.0,
07/01/2013,09:00,,,,,28.4,60.8,0.0,
07/01/2013,10:00,,,,,29.3,56.1,0.0,
07/01/2013,11:00,,,,,30.0,51.7,0.0,
07/01/2013,12:00,,,,,31.4,45.3,0.0,
07/01/2013,13:00,,,,,31.4,43.7,0.0,
07/01/2013,14:00,,,,,31.4,42.0,0.0,
07/01/2013,15:00,,,,,30.5,48.4,0.0,
07/01/2013,16:00,,,,,29.5,51.2,0.0,
07/01/2013,17:00,,,,,28.1,59.4,0.0,
07/01/2013,18:00,,,,,27.3,62.6,0.0,
07/01/2013,19:00,,,,,27.0,62.1,0.0,
07/01/2013,20:00,,,,,26.6,66.0,0.0,
07/01/2013,21:00,,,,,26.1,68.5,0.0,
07/01/2013,22:00,,,,,25.7,68.6,0.0,
07/01/2013,23:00,,,,,25.5,69.4,0.0,
08/01/2013,00:00,,,,,25.1,70.6,0.0,
08/01/2013,01:00,,,,,24.6,71.8,0.0,
08/01/2013,02:00,,,,,24.3,73.2,0.0,
08/01/2013,03:00,,,,,24.3,74.5,0.0,
08/01/2013,04:00,,,,,24.1,77.2,0.0,
08/01/2013,05:00,,,,,23.5,80.6,0.0,
08/01/2013,06:00,,,,,24.5,75.6,0.0,
08/01/2013,07:00,,,,,26.2,68.0,0.0,
08/01/2013,08:00,,,,,25.7,70.3,0.0,
08/01/2013,09:00,,,,,26.1,70.5,0.0,
08/01/2013,10:00,,,,,28.8,57.7,0.0,
08/01/2013,11:00,,,,,29.6,54.1,0.0,
08/01/2013,12:00,,,,,28.9,55.6,0.0,
08/01/2013,13:00,,,,,29.4,54.8,0.0,
08/01/2013,14:00,,,,,28.8,58.0,0.0,
08/01/2013,15:00,,,,,28.8,57.8,0.0,
08/01/2013,16:00,,,,,28.3,61.0,0.0,
08/01/2013,17:00,,,,,27.5,66.4,0.0,
08/01/2013,18:00,,,,,26.5,74.7,0.0,
08/01/2013,19:00,,,,,25.8,76.3,0.0,
08/01/2013,20:00,,,,,,,,
08/01/2013,21:00,,,,,,,,
08/01/2013,22:00,,,,,,,,
08/01/2013,23:00,,,,,,,,
09/01/2013,00:00,,,,,,,,
09/01/2013,01:00,,,,,,,,
09/01/2013,02:00,,,,,,,,
09/01/2013,03:00,,,,,,,,
09/01/2013,04:00,,,,,,,,
09/01/2013,05:00,,,,,,,,
09/01/2013,06:00,,,,,,,,
09/01/2013,07:00,,,,,,,,
09/01/2013,08:00,,,,,,,,
09/01/2013,09:00,,,,,28.9,63.8,0.0,
09/01/2013,10:00,,,,,29.5,62.1,0.0,
09/01/2013,11:00,,,,,30.0,60.8,0.0,
09/01/2013,12:00,,,,,30.5,59.6,0.0,
09/01/2013,13:00,,,,,30.8,57.1,0.0,
09/01/2013,14:00,,,,,31.0,51.7,0.0,
09/01/2013,15:00,,,,,30.4,53.4,0.0,
09/01/2013,16:00,,,,,30.3,48.2,0.0,
09/01/2013,17:00,,,,,28.8,61.6,0.0,
09/01/2013,18:00,,,,,27.0,69.7,0.0,
09/01/2013,19:00,,,,,,,,
09/01/2013,20:00,,,,,,,,
09/01/2013,21:00,,,,,,,,
09/01/2013,22:00,,,,,,,,
09/01/2013,23:00,,,,,,,,
10/01/2013,00:00,,,,,,,,
10/01/2013,01:00,,,,,,,,
10/01/2013,02:00,,,,,,,,
10/01/2013,03:00,,,,,,,,
10/01/2013,04:00,,,,,,,,
10/01/2013,05:00,,,,,,,,
10/01/2013,06:00,,,,,,,,
10/01/2013,07:00,,,,,,,,
10/01/2013,08:00,,,,,,,,
10/01/2013,09:00,,,,,,,,
10/01/2013,10:00,,,,,,,,
10/01/2013,11:00,,,,,,,,
10/01/2013,12:00,,,,,,,,
10/01/2013,13:00,,,,,,,,
10/01/2013,14:00,,,,,,,,
10/01/2013,15:00,,,,,,,,
10/01/2013,16:00,,,,,,,,
10/01/2013,17:00,,,,,,,,
10/01/2013,18:00,,,,,,,,
10/01/2013,19:00,,,,,,,,
10/01/2013,20:00,,,,,,,,
10/01/2013,21:00,,,,,,,,
10/01/2013,22:00,,,,,,,,
10/01/2013,23:00,,,,,,,,
11/01/2013,00:00,,,,,,,,
11/01/2013,01:00,,,,,,,,
11/01/2013,02:00,,,,,,,,
11/01/2013,03:00,,,,,,,,
11/01/2013,04:00,,,,,,,,
11/01/2013,05:00,,,,,,,,
11/01/2013,06:00,,,,,,,,
11/01/2013,07:00,,,,,,,,
11/01/2013,08:00,,,,,,,,
11/01/2013,09:00,,,,,30.2,51.9,0.0,
11/01/2013,10:00,,,,,31.1,48.3,0.0,
11/01/2013,11:00,,,,,31.9,45.3,0.0,0.001
11/01/2013,12:00,,,,,32.5,45.5,0.0,0.002
11/01/2013,13:00,,,,,32.0,48.0,0.0,0.002
11/01/2013,14:00,,,,,31.9,50.2,0.0,0.004
11/01/2013,15:00,,,,,31.4,52.9,0.0,0.005
11/01/2013,16:00,,,,,30.6,59.2,0.0,0.003
11/01/2013,17:00,,,,,29.3,65.9,0.0,0.003
11/01/2013,18:00,,,,,27.8,76.1,0.0,0.003
11/01/2013,19:00,,,,,27.3,80.5,0.0,0.002
11/01/2013,20:00,,,,,27.0,82.0,0.0,0.002
11/01/2013,21:00,,,,,26.7,84.1,0.0,0.003
11/01/2013,22:00,,,,,26.6,84.9,0.0,0.003
11/01/2013,23:00,,,,,26.5,84.7,0.0,0.003
12/01/2013,00:00,,,,,26.2,85.6,0.0,0.002
12/01/2013,01:00,,,,,26.1,86.8,0.0,
12/01/2013,02:00,,,,,25.8,86.9,0.0,0.002
12/01/2013,03:00,,,,,25.5,87.7,0.0,0.003
12/01/2013,04:00,,,,,25.3,88.9,0.0,0.002
12/01/2013,05:00,,,,,25.5,87.4,0.0,0.000
12/01/2013,06:00,,,,,26.4,82.3,0.0,0.001
12/01/2013,07:00,,,,,28.6,72.4,0.0,0.001
12/01/2013,08:00,,,,,29.2,69.2,0.0,0.003
12/01/2013,09:00,,,,,30.5,60.8,0.0,0.003
12/01/2013,10:00,,,,,30.9,58.4,0.0,0.002
12/01/2013,11:00,,,,,31.2,58.3,0.0,0.001
12/01/2013,12:00,,,,,31.6,58.0,0.0,0.003
12/01/2013,13:00,,,,,31.5,58.3,0.0,0.002
12/01/2013,14:00,,,,,30.9,62.5,0.0,0.001
12/01/2013,15:00,,,,,30.6,64.0,0.0,0.001
12/01/2013,16:00,,,,,30.0,66.1,0.0,0.002
12/01/2013,17:00,,,,,28.9,70.3,0.0,0.002
12/01/2013,18:00,,,,,27.5,76.6,0.0,0.002
12/01/2013,19:00,,,,,26.7,80.8,0.0,0.003
12/01/2013,20:00,,,,,26.6,81.4,0.0,0.002
12/01/2013,21:00,,,,,26.1,83.6,0.0,0.002
12/01/2013,22:00,,,,,25.6,84.9,0.0,0.003
12/01/2013,23:00,,,,,25.4,84.7,0.0,0.003
13/01/2013,00:00,,,,,24.8,86.6,0.0,0.004
13/01/2013,01:00,,,,,24.4,86.6,0.0,
13/01/2013,02:00,,,,,24.3,87.5,0.0,0.003
13/01/2013,03:00,,,,,24.1,87.9,0.0,0.002
13/01/2013,04:00,,,,,24.2,87.8,0.0,0.004
13/01/2013,05:00,,,,,23.9,88.1,0.0,0.002
13/01/2013,06:00,,,,,25.7,81.3,0.0,0.002
13/01/2013,07:00,,,,,27.7,69.7,0.0,0.001
13/01/2013,08:00,,,,,28.8,62.1,0.0,0.002
13/01/2013,09:00,,,,,29.6,60.4,0.0,0.001
13/01/2013,10:00,,,,,30.1,58.8,0.0,0.003
13/01/2013,11:00,,,,,30.6,55.6,0.0,0.004
13/01/2013,12:00,,,,,30.9,53.8,0.0,0.004
13/01/2013,13:00,,,,,30.8,55.8,0.0,0.003
13/01/2013,14:00,,,,,30.9,55.3,0.0,0.003
13/01/2013,15:00,,,,,30.0,59.3,0.0,0.003
13/01/2013,16:00,,,,,29.5,61.4,0.0,0.003
13/01/2013,17:00,,,,,28.6,64.4,0.0,0.003
13/01/2013,18:00,,,,,27.2,70.9,0.0,0.000
13/01/2013,19:00,,,,,26.0,78.5,0.0,0.002
13/01/2013,20:00,,,,,25.2,81.5,0.0,0.003
13/01/2013,21:00,,,,,25.0,82.6,0.0,
13/01/2013,22:00,,,,,25.2,81.8,0.0,0.002
13/01/2013,23:00,,,,,25.0,81.2,0.0,0.001
14/01/2013,00:00,,,,,24.6,82.7,0.0,0.003
14/01/2013,01:00,,,,,24.0,85.9,0.0,
14/01/2013,02:00,,,,,24.1,85.8,0.0,0.003
14/01/2013,03:00,,,,,23.7,85.1,0.0,0.001
14/01/2013,04:00,,,,,23.9,83.7,0.0,0.003
14/01/2013,05:00,,,,,22.6,87.7,0.0,0.005
14/01/2013,06:00,,,,,24.5,82.7,0.0,0.002
14/01/2013,07:00,,,,,27.6,62.6,0.0,0.001
14/01/2013,08:00,,,,,29.0,56.3,0.0,0.002
14/01/2013,09:00,,,,,29.8,53.6,0.0,0.002
14/01/2013,10:00,,,,,30.4,53.7,0.0,0.002
14/01/2013,11:00,,,,,31.3,52.0,0.0,0.001
14/01/2013,12:00,,,,,31.9,49.0,0.0,0.002
14/01/2013,13:00,,,,,32.3,46.2,0.0,0.003
14/01/2013,14:00,,,,,31.9,48.4,0.0,0.002
14/01/2013,15:00,,,,,31.3,52.9,0.0,0.001
14/01/2013,16:00,,,,,29.8,59.7,0.0,0.003
14/01/2013,17:00,,,,,28.7,61.0,0.0,0.002
14/01/2013,18:00,,,,,27.5,65.7,0.0,0.002
14/01/2013,19:00,,,,,26.3,72.2,0.0,0.003
14/01/2013,20:00,,,,,25.7,74.2,0.0,0.006
14/01/2013,21:00,,,,,25.5,77.6,0.0,0.005
14/01/2013,22:00,,,,,25.4,79.1,0.0,0.002
14/01/2013,23:00,,,,,25.5,79.8,0.0,0.003
15/01/2013,00:00,,,,,25.9,77.0,0.0,0.003
15/01/2013,01:00,,,,,26.0,74.6,0.0,
15/01/2013,02:00,,,,,26.0,75.8,0.0,0.003
15/01/2013,03:00,,,,,25.9,76.9,0.0,0.003
15/01/2013,04:00,,,,,25.9,78.7,0.0,0.004
15/01/2013,05:00,,,,,26.3,76.6,0.0,0.004
15/01/2013,06:00,,,,,26.8,74.5,0.0,0.003
15/01/2013,07:00,,,,,28.1,68.7,0.0,0.003
15/01/2013,08:00,,,,,29.4,64.1,0.0,0.002
15/01/2013,09:00,,,,,29.7,62.3,0.0,0.002
15/01/2013,10:00,,,,,29.8,61.5,0.0,0.002
15/01/2013,11:00,,,,,29.5,62.5,0.0,0.003
15/01/2013,12:00,,,,,29.9,60.0,0.0,0.003
15/01/2013,13:00,,,,,30.9,54.6,0.0,0.003
15/01/2013,14:00,,,,,30.8,53.8,0.0,0.003
15/01/2013,15:00,,,,,30.7,54.2,0.0,0.003
15/01/2013,16:00,,,,,30.7,46.7,0.0,0.003
15/01/2013,17:00,,,,,29.2,52.5,0.0,0.004
15/01/2013,18:00,,,,,27.5,62.3,0.0,0.000
15/01/2013,19:00,,,,,26.6,66.8,0.0,0.001
15/01/2013,20:00,,,,,26.4,65.9,0.0,0.001
15/01/2013,21:00,,,,,26.1,68.5,0.0,0.001
15/01/2013,22:00,,,,,25.6,71.3,0.0,0.003
15/01/2013,23:00,,,,,24.9,76.3,0.0,0.004
16/01/2013,00:00,,,,,25.3,75.7,0.0,0.002
16/01/2013,01:00,,,,,25.3,76.0,0.0,
16/01/2013,02:00,,,,,25.0,77.6,0.0,0.001
16/01/2013,03:00,,,,,24.1,84.6,0.6,0.002
16/01/2013,04:00,,,,,22.6,92.1,2.4,0.000
16/01/2013,05:00,,,,,22.8,93.1,0.0,0.001
16/01/2013,06:00,,,,,23.4,92.2,0.4,0.004
16/01/2013,07:00,,,,,24.3,90.4,0.0,0.003
16/01/2013,08:00,,,,,24.5,87.7,1.8,0.004
16/01/2013,09:00,,,,,24.6,88.1,0.0,0.004
16/01/2013,10:00,,,,,26.4,75.9,0.0,0.002
16/01/2013,11:00,,,,,27.8,66.1,0.0,0.002
16/01/2013,12:00,,,,,28.6,63.6,0.0,0.000
16/01/2013,13:00,,,,,29.0,62.3,0.0,0.000
16/01/2013,14:00,,,,,29.7,60.3,0.0,0.002
16/01/2013,15:00,,,,,25.2,82.1,1.4,0.003
16/01/2013,16:00,,,,,26.3,80.2,0.0,0.003
16/01/2013,17:00,,,,,27.3,71.1,0.0,0.002
16/01/2013,18:00,,,,,26.5,71.3,0.0,0.005
16/01/2013,19:00,,,,,25.6,73.9,0.0,0.005
16/01/2013,20:00,,,,,24.8,78.4,0.0,0.002
16/01/2013,21:00,,,,,24.6,81.6,0.0,0.002
16/01/2013,22:00,,,,,24.6,84.1,0.0,0.003
16/01/2013,23:00,,,,,24.5,84.3,0.0,0.003
17/01/2013,00:00,,,,,24.5,85.3,0.0,0.003
17/01/2013,01:00,,,,,24.3,87.3,0.0,
17/01/2013,02:00,,,,,23.5,91.6,1.0,0.001
17/01/2013,03:00,,,,,22.9,92.4,0.2,0.000
17/01/2013,04:00,,,,,23.0,95.0,1.8,0.005
17/01/2013,05:00,,,,,23.0,94.5,1.8,0.004
17/01/2013,06:00,,,,,23.5,95.1,0.0,0.003
17/01/2013,07:00,,,,,24.9,89.9,0.0,0.005
17/01/2013,08:00,,,,,24.9,90.0,0.4,0.006
17/01/2013,09:00,,,,,26.7,79.1,0.0,0.005
17/01/2013,10:00,,,,,28.5,67.8,0.0,0.003
17/01/2013,11:00,,,,,29.7,59.5,0.0,0.003
17/01/2013,12:00,,,,,30.3,57.5,0.0,0.001
17/01/2013,13:00,,,,,30.3,57.8,0.0,0.002
17/01/2013,14:00,,,,,30.4,55.3,0.0,0.003
17/01/2013,15:00,,,,,30.0,57.3,0.0,0.003
17/01/2013,16:00,,,,,29.4,58.6,0.0,0.001
17/01/2013,17:00,,,,,28.5,64.4,0.0,0.001
17/01/2013,18:00,,,,,27.1,72.9,0.0,0.003
17/01/2013,19:00,,,,,25.9,78.2,0.0,0.004
17/01/2013,20:00,,,,,25.6,81.3,0.0,0.002
17/01/2013,21:00,,,,,25.3,81.9,0.0,0.002
17/01/2013,22:00,,,,,25.3,82.5,0.0,0.004
17/01/2013,23:00,,,,,24.6,86.5,0.0,0.004
18/01/2013,00:00,,,,,24.2,87.2,0.0,0.002
18/01/2013,01:00,,,,,23.9,88.3,0.0,
18/01/2013,02:00,,,,,23.7,89.4,0.0,0.002
18/01/2013,03:00,,,,,23.7,88.8,0.0,0.002
18/01/2013,04:00,,,,,23.0,91.6,0.0,0.001
18/01/2013,05:00,,,,,22.8,92.9,0.0,0.001
18/01/2013,06:00,,,,,24.5,88.3,0.0,0.003
18/01/2013,07:00,,,,,26.9,77.8,0.0,0.002
18/01/2013,08:00,,,,,28.9,65.6,0.0,0.002
18/01/2013,09:00,,,,,29.8,61.2,0.0,0.003
18/01/2013,10:00,,,,,30.2,59.6,0.0,0.003
18/01/2013,11:00,,,,,30.2,61.7,0.0,0.002
18/01/2013,12:00,,,,,30.5,59.2,0.0,0.002
18/01/2013,13:00,,,,,30.7,58.7,0.0,0.003
18/01/2013,14:00,,,,,30.4,60.7,0.0,0.002
18/01/2013,15:00,,,,,29.6,64.6,0.0,0.001
18/01/2013,16:00,,,,,29.1,62.9,0.0,0.003
18/01/2013,17:00,,,,,28.0,68.9,0.0,0.003
18/01/2013,18:00,,,,,27.3,73.3,0.0,0.004
18/01/2013,19:00,,,,,26.8,77.0,0.0,0.005
18/01/2013,20:00,,,,,26.3,78.9,0.0,0.004
18/01/2013,21:00,,,,,25.7,81.9,0.0,0.004
18/01/2013,22:00,,,,,25.5,83.4,0.0,0.002
18/01/2013,23:00,,,,,25.3,81.3,0.0,0.002
19/01/2013,00:00,,,,,25.5,80.0,0.0,0.002
19/01/2013,01:00,,,,,25.6,80.0,0.0,
19/01/2013,02:00,,,,,24.8,84.8,0.0,0.002
19/01/2013,03:00,,,,,24.8,84.1,0.0,0.003
19/01/2013,04:00,,,,,24.6,83.9,0.0,0.003
19/01/2013,05:00,,,,,24.9,82.9,0.0,0.003
19/01/2013,06:00,,,,,26.0,80.2,0.0,0.003
19/01/2013,07:00,,,,,27.7,70.2,0.0,0.001
19/01/2013,08:00,,,,,28.6,65.2,0.0,0.002
19/01/2013,09:00,,,,,29.4,63.2,0.0,0.002
19/01/2013,10:00,,,,,30.2,60.3,0.0,0.004
19/01/2013,11:00,,,,,31.0,56.2,0.0,0.004
19/01/2013,12:00,,,,,30.8,59.1,0.0,0.002
19/01/2013,13:00,,,,,30.3,63.2,0.0,0.003
19/01/2013,14:00,,,,,30.7,60.4,0.0,0.003
19/01/2013,15:00,,,,,28.9,71.3,0.0,0.003
19/01/2013,16:00,,,,,28.5,71.1,0.0,0.003
19/01/2013,17:00,,,,,27.1,79.9,0.0,0.002
19/01/2013,18:00,,,,,27.0,76.0,0.0,0.003
19/01/2013,19:00,,,,,26.9,76.1,0.0,0.003
19/01/2013,20:00,,,,,27.0,76.6,0.0,0.001
19/01/2013,21:00,,,,,26.5,79.4,0.0,0.001
19/01/2013,22:00,,,,,26.0,82.4,0.0,0.002
19/01/2013,23:00,,,,,25.6,84.7,0.0,0.003
20/01/2013,00:00,,,,,25.2,86.4,0.0,0.003
20/01/2013,01:00,,,,,24.7,88.5,0.0,
20/01/2013,02:00,,,,,24.7,89.2,0.0,0.002
20/01/2013,03:00,,,,,24.6,88.8,0.0,0.002
20/01/2013,04:00,,,,,24.5,88.5,0.0,0.002
20/01/2013,05:00,,,,,24.0,90.3,0.0,0.002
20/01/2013,06:00,,,,,24.9,88.2,0.0,0.004
20/01/2013,07:00,,,,,27.2,77.6,0.0,0.003
20/01/2013,08:00,,,,,28.6,74.5,0.2,0.002
20/01/2013,09:00,,,,,29.4,72.0,0.0,0.003
20/01/2013,10:00,,,,,29.9,65.7,0.0,0.002
20/01/2013,11:00,,,,,31.0,60.5,0.0,0.001
20/01/2013,12:00,,,,,31.8,57.6,0.0,0.003
20/01/2013,13:00,,,,,31.9,55.3,0.0,0.003
20/01/2013,14:00,,,,,31.7,54.9,0.0,0.003
20/01/2013,15:00,,,,,31.3,54.4,0.0,0.002
