Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Sulfur Dioxide (ppm)
07/01/2013,22:00,44,1.4,19.4,0.8,0.000
07/01/2013,23:00,55,2.4,17.6,1.1,0.000
08/01/2013,00:00,53,1.9,18.1,0.8,
08/01/2013,01:00,56,1.6,18.8,0.8,0.001
08/01/2013,02:00,39,1.0,24.1,0.6,0.000
08/01/2013,03:00,42,1.6,18.3,0.8,0.000
08/01/2013,04:00,62,1.4,27.9,0.8,0.000
08/01/2013,05:00,62,2.0,25.5,1.0,0.001
08/01/2013,06:00,49,2.4,17.3,1.1,0.000
08/01/2013,07:00,33,2.6,19.0,1.1,0.000
08/01/2013,08:00,28,3.3,18.2,1.3,0.001
08/01/2013,09:00,29,1.9,28.4,0.9,0.001
08/01/2013,10:00,50,2.3,20.9,1.0,0.001
08/01/2013,11:00,24,2.0,46.5,1.4,0.001
08/01/2013,12:00,61,0.6,104.7,1.2,0.000
08/01/2013,13:00,84,0.9,82.7,1.1,0.000
08/01/2013,14:00,119,0.9,77.1,1.0,0.001
08/01/2013,15:00,59,0.9,78.6,1.3,0.001
08/01/2013,16:00,166,0.7,100.7,1.1,0.000
08/01/2013,17:00,41,1.5,59.1,1.1,0.000
08/01/2013,18:00,66,1.3,41.6,0.8,0.002
08/01/2013,19:00,20,1.7,43.8,1.3,0.000
08/01/2013,20:00,11,1.9,17.9,0.7,0.000
08/01/2013,21:00,9,1.8,176.4,0.7,0.000
08/01/2013,22:00,352,1.1,23.3,0.5,0.000
08/01/2013,23:00,334,0.5,20.8,0.3,0.000
09/01/2013,00:00,343,0.4,38.8,0.3,
09/01/2013,01:00,335,0.4,34.8,0.2,0.001
09/01/2013,02:00,3,0.8,23.8,0.3,0.001
09/01/2013,03:00,340,0.8,24.2,0.4,0.001
09/01/2013,04:00,337,1.0,14.0,0.5,0.001
09/01/2013,05:00,342,1.2,20.0,0.5,0.001
09/01/2013,06:00,279,1.0,27.0,0.6,0.001
09/01/2013,07:00,266,1.0,27.2,0.6,0.000
09/01/2013,08:00,258,1.2,21.4,0.5,0.001
09/01/2013,09:00,270,1.2,23.4,0.6,0.001
09/01/2013,10:00,281,1.3,25.1,0.6,0.001
09/01/2013,11:00,275,1.3,31.6,0.7,0.001
09/01/2013,12:00,229,1.3,42.0,0.9,0.003
09/01/2013,13:00,186,1.5,52.6,1.2,0.075
09/01/2013,14:00,156,1.1,83.3,1.4,0.026
09/01/2013,15:00,164,0.8,68.0,0.9,0.008
09/01/2013,16:00,125,0.7,70.6,0.8,0.002
09/01/2013,17:00,107,0.7,71.1,0.8,0.000
09/01/2013,18:00,195,0.5,54.4,0.4,0.010
09/01/2013,19:00,2,0.3,175.5,0.2,0.003
09/01/2013,20:00,62,2.3,74.4,3.3,0.004
09/01/2013,21:00,19,3.0,21.9,1.6,0.000
09/01/2013,22:00,29,1.2,168.0,0.9,0.001
09/01/2013,23:00,355,0.8,46.8,0.8,0.001
10/01/2013,00:00,333,0.6,30.7,0.4,
10/01/2013,01:00,346,1.0,26.0,0.6,0.001
10/01/2013,02:00,345,0.8,27.0,0.4,0.001
10/01/2013,03:00,346,0.9,24.2,0.5,0.001
10/01/2013,04:00,33,1.0,33.9,0.4,0.000
10/01/2013,05:00,205,1.3,33.7,0.6,0.008
10/01/2013,06:00,240,0.4,73.9,0.5,0.015
10/01/2013,07:00,291,0.6,41.1,0.4,0.004
10/01/2013,08:00,277,1.0,29.7,0.6,0.001
10/01/2013,09:00,261,1.4,24.5,0.7,0.002
10/01/2013,10:00,233,2.5,18.9,1.4,0.003
10/01/2013,11:00,242,2.3,22.2,1.2,0.003
10/01/2013,12:00,256,1.8,26.2,1.0,0.002
10/01/2013,13:00,246,1.5,43.3,1.2,0.001
10/01/2013,14:00,264,1.2,39.4,0.8,0.001
10/01/2013,15:00,274,1.1,27.6,0.6,0.001
10/01/2013,16:00,246,1.6,32.7,1.0,0.002
10/01/2013,17:00,306,2.1,18.9,1.0,0.001
10/01/2013,18:00,3,1.4,145.9,1.7,0.000
10/01/2013,19:00,59,2.8,37.8,2.1,0.000
10/01/2013,20:00,347,2.1,28.8,1.3,0.001
10/01/2013,21:00,13,0.2,137.5,0.6,0.002
10/01/2013,22:00,51,2.8,29.9,1.5,0.001
10/01/2013,23:00,3,3.7,172.1,1.3,0.002
11/01/2013,00:00,344,3.2,19.0,1.5,
11/01/2013,01:00,30,3.5,31.4,1.6,0.001
11/01/2013,02:00,65,1.6,39.6,1.3,0.001
11/01/2013,03:00,325,1.2,39.9,0.9,0.001
11/01/2013,04:00,328,2.3,22.5,1.5,0.000
11/01/2013,05:00,307,0.9,49.7,0.8,0.000
11/01/2013,06:00,218,1.6,21.0,0.7,0.003
11/01/2013,07:00,221,1.6,49.3,1.3,0.007
11/01/2013,08:00,212,1.0,29.2,0.4,0.002
11/01/2013,09:00,232,1.0,26.1,0.4,0.001
11/01/2013,10:00,265,1.1,26.5,0.5,0.001
11/01/2013,11:00,295,1.1,24.2,0.6,0.001
11/01/2013,12:00,289,0.9,40.9,0.6,0.001
11/01/2013,13:00,308,0.6,73.9,0.8,0.001
11/01/2013,14:00,277,0.5,81.4,0.7,0.011
11/01/2013,15:00,311,0.5,66.9,0.6,0.002
11/01/2013,16:00,349,1.5,39.4,0.9,0.000
11/01/2013,17:00,337,1.6,21.4,0.8,0.000
11/01/2013,18:00,145,2.0,78.5,2.8,0.003
11/01/2013,19:00,163,3.2,15.5,1.6,0.054
11/01/2013,20:00,72,0.3,78.2,0.4,0.043
11/01/2013,21:00,58,0.6,66.4,0.8,0.009
11/01/2013,22:00,133,0.1,105.1,0.3,0.011
11/01/2013,23:00,3,0.2,123.8,0.4,0.005
12/01/2013,00:00,352,1.0,27.4,0.6,
12/01/2013,01:00,322,0.7,29.2,0.4,0.002
12/01/2013,02:00,338,0.7,22.4,0.4,0.002
12/01/2013,03:00,337,0.6,27.1,0.3,0.002
12/01/2013,04:00,309,0.3,42.7,0.2,0.001
12/01/2013,05:00,341,0.6,24.6,0.3,0.001
12/01/2013,06:00,349,0.2,98.0,0.3,0.001
12/01/2013,07:00,190,0.2,83.7,0.3,0.000
12/01/2013,08:00,233,0.8,29.5,0.4,0.001
12/01/2013,09:00,236,1.1,20.2,0.4,0.001
12/01/2013,10:00,275,0.8,50.1,0.6,0.001
12/01/2013,11:00,269,0.8,47.5,0.5,0.001
12/01/2013,12:00,282,0.6,69.2,0.7,0.004
12/01/2013,13:00,2,0.4,110.0,0.8,0.001
12/01/2013,14:00,46,0.9,96.9,1.1,0.001
12/01/2013,15:00,35,1.9,37.3,1.1,0.001
12/01/2013,16:00,52,0.8,157.2,1.3,0.000
12/01/2013,17:00,28,1.7,45.5,1.2,0.001
12/01/2013,18:00,336,1.5,17.6,0.8,0.001
12/01/2013,19:00,334,0.9,18.0,0.4,0.001
12/01/2013,20:00,7,0.8,171.7,0.5,0.002
12/01/2013,21:00,23,0.4,30.2,0.2,0.001
12/01/2013,22:00,8,0.3,152.0,0.1,0.000
12/01/2013,23:00,49,0.3,41.8,0.2,0.001
13/01/2013,00:00,17,0.3,153.8,0.4,
13/01/2013,01:00,357,0.9,167.5,0.3,0.001
13/01/2013,02:00,340,0.7,26.3,0.5,0.001
13/01/2013,03:00,346,0.4,55.7,0.3,0.001
13/01/2013,04:00,46,0.5,37.9,0.3,0.001
13/01/2013,05:00,15,0.5,167.0,0.3,0.001
13/01/2013,06:00,60,0.5,32.8,0.3,0.001
13/01/2013,07:00,315,0.2,171.3,0.4,0.000
13/01/2013,08:00,227,1.0,25.3,0.4,0.001
13/01/2013,09:00,235,0.9,35.5,0.4,0.001
13/01/2013,10:00,300,0.6,67.9,0.6,0.001
13/01/2013,11:00,296,0.7,61.5,0.6,0.001
13/01/2013,12:00,343,0.8,170.3,0.7,0.000
13/01/2013,13:00,12,1.3,61.7,1.3,0.000
13/01/2013,14:00,21,0.9,78.6,1.2,0.001
13/01/2013,15:00,25,1.6,55.8,1.2,0.000
13/01/2013,16:00,21,1.8,161.1,1.4,0.000
13/01/2013,17:00,40,1.1,82.9,1.2,0.002
13/01/2013,18:00,182,2.0,18.7,1.0,0.179
13/01/2013,19:00,147,0.3,81.8,0.4,0.116
13/01/2013,20:00,356,0.5,160.2,0.5,0.002
13/01/2013,21:00,343,1.0,18.5,0.5,0.006
13/01/2013,22:00,32,0.4,49.6,0.3,0.016
13/01/2013,23:00,358,0.4,172.8,0.2,0.010
14/01/2013,00:00,14,0.4,44.1,0.3,
14/01/2013,01:00,321,0.6,33.9,0.4,0.006
14/01/2013,02:00,340,0.6,42.5,0.4,0.003
14/01/2013,03:00,288,0.3,53.8,0.3,0.001
14/01/2013,04:00,203,1.5,29.4,0.9,0.019
14/01/2013,05:00,205,1.4,27.8,0.8,0.018
14/01/2013,06:00,252,0.4,57.6,0.4,0.009
14/01/2013,07:00,239,1.2,22.6,0.6,0.015
14/01/2013,08:00,238,2.1,16.7,0.9,0.007
14/01/2013,09:00,239,1.2,24.7,0.6,0.005
14/01/2013,10:00,226,1.1,48.6,0.8,0.225
14/01/2013,11:00,217,1.0,74.6,1.2,0.149
14/01/2013,12:00,218,1.1,50.0,0.9,0.040
14/01/2013,13:00,228,1.0,56.1,0.8,0.069
14/01/2013,14:00,237,0.8,57.5,1.0,0.135
14/01/2013,15:00,266,0.2,115.1,0.7,0.186
14/01/2013,16:00,202,1.4,36.5,1.2,0.156
14/01/2013,17:00,197,1.9,27.4,0.9,0.333
14/01/2013,18:00,115,3.2,50.1,3.0,0.034
14/01/2013,19:00,32,1.6,153.9,2.3,0.001
14/01/2013,20:00,71,2.0,45.6,1.5,0.001
14/01/2013,21:00,327,1.0,54.1,0.9,0.002
14/01/2013,22:00,336,1.8,18.6,0.9,0.001
14/01/2013,23:00,324,1.0,34.4,0.7,0.001
15/01/2013,00:00,18,0.8,143.7,0.9,
15/01/2013,01:00,244,0.3,67.0,0.3,0.003
15/01/2013,02:00,328,0.3,68.2,0.3,0.009
15/01/2013,03:00,218,1.2,24.2,0.8,0.005
15/01/2013,04:00,233,0.7,33.3,0.5,0.004
15/01/2013,05:00,216,0.9,30.8,0.7,0.009
15/01/2013,06:00,233,1.2,27.8,0.7,0.012
15/01/2013,07:00,216,1.8,18.2,0.9,0.010
15/01/2013,08:00,220,2.4,12.2,0.9,0.006
15/01/2013,09:00,219,2.7,13.8,1.0,0.003
15/01/2013,10:00,222,2.3,15.9,1.1,0.003
15/01/2013,11:00,239,2.2,21.5,1.0,0.002
15/01/2013,12:00,230,2.1,31.7,1.3,0.002
15/01/2013,13:00,244,1.4,32.9,0.9,0.002
15/01/2013,14:00,213,2.0,31.5,1.2,0.009
15/01/2013,15:00,222,1.6,32.4,1.2,0.023
15/01/2013,16:00,224,1.2,42.5,0.7,0.048
15/01/2013,17:00,263,1.0,29.1,0.5,0.001
15/01/2013,18:00,262,1.0,32.0,0.6,0.002
15/01/2013,19:00,276,0.9,18.2,0.3,0.000
15/01/2013,20:00,276,1.0,15.0,0.4,0.000
15/01/2013,21:00,276,1.0,17.3,0.4,0.001
15/01/2013,22:00,232,1.7,31.6,0.8,0.009
15/01/2013,23:00,219,2.1,15.9,0.9,0.002
16/01/2013,00:00,181,1.6,31.2,1.0,
16/01/2013,01:00,155,1.0,20.0,0.5,0.000
16/01/2013,02:00,163,1.4,9.5,0.6,0.001
16/01/2013,03:00,156,0.5,35.8,0.3,0.001
16/01/2013,04:00,151,0.9,27.6,0.4,0.001
16/01/2013,05:00,29,0.1,123.5,0.3,0.001
16/01/2013,06:00,31,0.6,71.6,0.6,0.001
16/01/2013,07:00,331,0.3,65.7,0.3,0.001
16/01/2013,08:00,40,1.5,39.1,1.0,0.001
16/01/2013,09:00,12,2.8,173.9,1.1,0.001
16/01/2013,10:00,9,3.8,177.2,1.6,0.001
16/01/2013,11:00,359,2.8,22.5,1.2,0.000
16/01/2013,12:00,359,2.5,27.0,1.3,0.001
16/01/2013,13:00,350,2.8,23.5,1.5,0.001
16/01/2013,14:00,354,2.8,24.2,1.3,0.000
16/01/2013,15:00,7,2.9,178.2,1.3,0.001
16/01/2013,16:00,2,2.7,21.4,1.2,0.000
16/01/2013,17:00,23,3.5,17.2,1.4,0.000
16/01/2013,18:00,30,4.0,11.6,1.3,0.000
16/01/2013,19:00,29,4.4,11.6,1.3,0.000
16/01/2013,20:00,27,3.8,13.7,1.3,0.000
16/01/2013,21:00,29,3.7,13.4,1.2,0.000
16/01/2013,22:00,24,3.6,15.2,1.2,0.000
16/01/2013,23:00,22,3.3,15.3,1.1,0.000
17/01/2013,00:00,17,3.1,16.9,1.1,
17/01/2013,01:00,10,3.6,173.3,1.5,0.001
17/01/2013,02:00,5,3.0,19.0,1.3,0.001
17/01/2013,03:00,3,2.8,19.1,1.0,0.000
17/01/2013,04:00,16,3.1,18.6,1.2,0.000
17/01/2013,05:00,1,2.3,20.8,1.0,0.001
17/01/2013,06:00,21,1.8,164.8,0.9,0.001
17/01/2013,07:00,28,2.4,23.1,1.0,0.000
17/01/2013,08:00,12,2.6,177.0,1.3,0.001
17/01/2013,09:00,4,3.1,179.0,1.7,0.000
17/01/2013,10:00,351,2.7,32.4,1.5,0.001
17/01/2013,11:00,347,2.6,30.8,1.4,0.001
17/01/2013,12:00,360,2.6,172.9,1.4,0.000
17/01/2013,13:00,344,2.2,33.5,1.1,0.001
17/01/2013,14:00,351,1.6,48.3,1.1,0.001
17/01/2013,15:00,18,2.1,165.5,1.3,0.001
17/01/2013,16:00,51,2.7,25.3,1.3,0.000
17/01/2013,17:00,59,2.1,25.0,1.1,0.000
17/01/2013,18:00,40,2.3,27.4,1.2,0.000
17/01/2013,19:00,327,0.8,28.5,0.6,0.001
17/01/2013,20:00,64,1.1,27.2,0.7,0.000
17/01/2013,21:00,70,1.2,31.9,0.8,0.000
17/01/2013,22:00,86,0.6,39.7,0.5,0.001
17/01/2013,23:00,21,0.1,89.6,0.3,0.001
18/01/2013,00:00,343,0.4,41.4,0.2,
18/01/2013,01:00,45,0.4,39.6,0.3,0.000
18/01/2013,02:00,35,0.2,93.4,0.2,0.000
18/01/2013,03:00,330,0.2,49.7,0.1,0.000
18/01/2013,04:00,328,0.3,35.1,0.1,0.000
18/01/2013,05:00,58,0.2,141.8,0.2,0.000
18/01/2013,06:00,71,0.4,88.0,0.6,0.000
18/01/2013,07:00,44,1.8,25.2,0.8,0.000
18/01/2013,08:00,3,2.0,172.4,1.2,0.000
18/01/2013,09:00,360,2.4,167.4,1.3,0.000
18/01/2013,10:00,4,1.6,177.5,1.0,0.001
18/01/2013,11:00,28,2.9,22.1,1.2,0.001
18/01/2013,12:00,26,3.6,24.3,1.5,0.001
18/01/2013,13:00,23,4.1,19.5,1.5,0.001
18/01/2013,14:00,25,4.1,20.5,1.5,0.000
18/01/2013,15:00,23,4.8,18.5,1.7,0.000
18/01/2013,16:00,24,4.7,16.3,1.9,0.000
18/01/2013,17:00,28,4.1,16.7,1.6,0.000
18/01/2013,18:00,20,4.0,17.1,1.4,0.000
18/01/2013,19:00,24,4.0,13.8,1.5,0.000
18/01/2013,20:00,6,2.9,177.0,1.2,0.000
18/01/2013,21:00,3,2.1,23.2,1.0,0.000
18/01/2013,22:00,3,2.2,20.1,0.9,0.000
18/01/2013,23:00,4,1.8,18.9,0.7,0.001
19/01/2013,00:00,3,1.6,178.4,0.7,
19/01/2013,01:00,354,1.2,24.2,0.6,0.001
19/01/2013,02:00,351,1.4,21.1,0.6,0.001
19/01/2013,03:00,22,1.6,20.2,0.7,0.000
19/01/2013,04:00,17,1.4,20.3,0.6,0.001
19/01/2013,05:00,12,1.3,20.1,0.6,0.000
19/01/2013,06:00,53,0.7,35.6,0.4,0.001
19/01/2013,07:00,58,1.4,29.2,0.7,0.000
19/01/2013,08:00,43,1.8,29.4,0.9,0.000
19/01/2013,09:00,40,2.1,33.8,1.2,0.000
19/01/2013,10:00,49,2.0,40.6,1.1,0.001
19/01/2013,11:00,39,2.8,34.2,1.5,0.000
19/01/2013,12:00,34,3.4,22.1,1.4,0.001
19/01/2013,13:00,51,3.1,29.9,1.6,0.000
19/01/2013,14:00,41,3.6,24.9,1.7,0.000
19/01/2013,15:00,40,2.8,28.4,1.6,0.000
19/01/2013,16:00,32,3.5,23.8,1.6,0.000
19/01/2013,17:00,41,2.8,26.7,1.5,0.000
19/01/2013,18:00,40,3.0,20.8,1.2,0.000
19/01/2013,19:00,28,1.7,19.7,0.8,0.000
19/01/2013,20:00,13,1.2,161.6,0.8,0.000
19/01/2013,21:00,323,0.4,19.3,0.1,0.000
19/01/2013,22:00,339,1.0,35.8,1.0,0.001
19/01/2013,23:00,342,1.7,16.7,0.8,0.001
20/01/2013,00:00,349,1.4,19.6,0.7,
20/01/2013,01:00,346,1.3,19.7,0.6,0.000
20/01/2013,02:00,340,1.3,17.7,0.6,0.001
20/01/2013,03:00,342,1.2,16.1,0.4,0.001
20/01/2013,04:00,343,0.8,15.1,0.2,0.001
20/01/2013,05:00,23,0.6,162.6,0.3,0.000
20/01/2013,06:00,58,1.2,18.1,0.5,0.000
20/01/2013,07:00,45,1.3,22.7,0.6,0.000
20/01/2013,08:00,26,1.0,51.1,0.8,0.000
20/01/2013,09:00,30,2.3,30.3,1.2,0.000
20/01/2013,10:00,69,1.9,40.0,1.2,0.001
20/01/2013,11:00,66,2.7,33.8,1.4,0.001
20/01/2013,12:00,59,2.6,44.4,1.8,0.001
20/01/2013,13:00,59,3.2,36.0,1.9,0.001
20/01/2013,14:00,63,4.1,23.9,2.0,0.000
20/01/2013,15:00,60,4.0,24.5,1.8,0.000
20/01/2013,16:00,66,4.1,21.1,1.9,0.000
20/01/2013,17:00,57,3.8,18.7,1.7,0.000
20/01/2013,18:00,41,4.1,18.3,1.9,0.000
20/01/2013,19:00,26,4.5,16.5,1.5,0.000
20/01/2013,20:00,354,2.5,19.6,1.1,0.000
20/01/2013,21:00,15,2.1,167.8,1.2,0.000
20/01/2013,22:00,25,3.3,17.6,1.2,0.000
